"mbtag","artist_id"
"black metal","AR1OBRC1187FB59AD4"
"death metal","AR1OBRC1187FB59AD4"
"polish","AR1OBRC1187FB59AD4"
"blackened death metal","AR1OBRC1187FB59AD4"
"metal","AR1OBRC1187FB59AD4"
"german","AR1ON8N1187B98FE42"
"classic pop and rock","AR1OSPO1187FB5CFA1"
"warp","AR1OSS61187B98CAED"
"punk","AR1OTU11187FB4E469"
"france","AR1OTU11187FB4E469"
"dj","AR1OVX71187FB4F1D9"
"electronic","AR1OVX71187FB4F1D9"
"breakbeat","AR1OVX71187FB4F1D9"
"american","AR1OWF21187B9AC594"
"alternative rock","AR1OWF21187B9AC594"
"rock and indie","AR1OWF21187B9AC594"
"industrial rock","AR1OWF21187B9AC594"
"rock","AR1OWF21187B9AC594"
"violoniste","AR1P28K1187FB4A700"
"jazz","AR1P28K1187FB4A700"
"français","AR1P28K1187FB4A700"
"french","AR1P28K1187FB4A700"
"compositeur","AR1P28K1187FB4A700"
"france","AR1P28K1187FB4A700"
"composer","AR1P28K1187FB4A700"
"violinist","AR1P28K1187FB4A700"
"francophone","AR1P28K1187FB4A700"
"taiwanese","AR1P7OW1187FB5B3E1"
"chinese","AR1P7OW1187FB5B3E1"
"french","AR1PC9R1187B9ACC9A"
"france","AR1PC9R1187B9ACC9A"
"rock and indie","AR1PC9R1187B9ACC9A"
"composer","AR1PC9R1187B9ACC9A"
"soundtrack","AR1PC9R1187B9ACC9A"
"accordéoniste","AR1PC9R1187B9ACC9A"
"français","AR1PC9R1187B9ACC9A"
"accordionist","AR1PC9R1187B9ACC9A"
"francophone","AR1PC9R1187B9ACC9A"
"european","AR1PC9R1187B9ACC9A"
"soundtrack","AR1PCLK1187FB5BBFF"
"american","AR1PCLK1187FB5BBFF"
"german","AR1PLMZ1187B9B6456"
"soul","AR1PLMZ1187B9B6456"
"rock and indie","AR1PN1B1187FB36561"
"rock and indie","AR1PQST1187FB4D913"
"hip-hop","AR1Q25M1187B9B0D73"
"american","AR1Q25M1187B9B0D73"
"hip hop rnb and dance hall","AR1Q25M1187B9B0D73"
"progressive metal","AR1QBHL1187B9A01A4"
"metal","AR1QBHL1187B9A01A4"
"classical","AR1QF001187B9B2B9F"
"jazz","AR1QF001187B9B2B9F"
"american","AR1QF001187B9B2B9F"
"cool jazz","AR1QF001187B9B2B9F"
"west coast jazz","AR1QF001187B9B2B9F"
"jazz and blues","AR1QF001187B9B2B9F"
"classic pop and rock","AR1QQHT1187B9B0022"
"american","AR1QVPU1187FB56B47"
"country","AR1QVPU1187FB56B47"
"folk","AR1QVPU1187FB56B47"
"finnish","AR1QWMO1187FB4BFAD"
"rock and indie","AR1R15M1187B9AEB0D"
"rock and indie","AR1R2DZ1187FB5A323"
"rock and indie","AR1RA2I1187B9991AC"
"american","AR1RFJ41187B98B59A"
"alternative metal","AR1RMYB1187FB5A59E"
"alternative rock","AR1RMYB1187FB5A59E"
"rock","AR1RMYB1187FB5A59E"
"metal","AR1RMYB1187FB5A59E"
"funk metal","AR1RMYB1187FB5A59E"
"american","AR1RMYB1187FB5A59E"
"rock and indie","AR1S1021187B9A4032"
"rock and indie","AR1S9ZF1187FB3CBB0"
"italian","AR1SF0G1187B9AF4F0"
"american","AR1SI131187FB39F9F"
"south american","AR1SINY1187B9B9429"
"argentinian","AR1SINY1187B9B9429"
"german","AR1SQV21187B9AE9C6"
"classic pop and rock","AR1SUNB1187FB41BC8"
"punk","AR1SVJX1187FB3A7D9"
"winnipeg","AR1SVJX1187FB3A7D9"
"canada","AR1SVJX1187FB3A7D9"
"classic pop and rock","AR1T30W1187FB4AE7E"
"united states","AR1T5VW1187B9B9586"
"cuban","AR1TIS71187FB37160"
"dance","AR1TIS71187FB37160"
"rock","AR1TIS71187FB37160"
"latin pop","AR1TIS71187FB37160"
"dance-pop","AR1TIS71187FB37160"
"pop","AR1TIS71187FB37160"
"american","AR1TIS71187FB37160"
"pop rock","AR1TIS71187FB37160"
"pop and chart","AR1TIS71187FB37160"
"rock","AR1TP7S1187B99F120"
"american","AR1TP7S1187B99F120"
"indie rock","AR1TP7S1187B99F120"
"motown","AR1TQH71187B994258"
"jazz and blues","AR1TZTZ1187B9AE804"
"industrial rock","AR1U3BY1187B9B136F"
"american","AR1U3BY1187B9B136F"
"drum and bass","AR1U87A1187FB4D0D6"
"hip hop rnb and dance hall","AR1U87A1187FB4D0D6"
"pop","AR1UAUF1187B98B5E2"
"dutch","AR1UAUF1187B98B5E2"
"classic pop and rock","AR1UBH11187FB3643A"
"folk","AR1UBH11187FB3643A"
"german","AR1UH3J11C8A416B43"
"classic pop and rock","AR1UR7X1187FB50596"
"folk","AR1URGD1187B98F194"
"rock","AR1US5B1187B9914F9"
"american","AR1US5B1187B9914F9"
"eurodance","AR1UU1N1187B98D334"
"classic pop and rock","AR1UW1E1187B99B2F1"
"house","AR1UZRC1187B9B8389"
"blues","AR1VB2W1187B9901C5"
"uk","AR1VG6L1187B999D3F"
"punk","AR1VG6L1187B999D3F"
"trowbridge","AR1VG6L1187B999D3F"
"melksham","AR1VG6L1187B999D3F"
"england","AR1VG6L1187B999D3F"
"wiltshire","AR1VG6L1187B999D3F"
"anarcho","AR1VG6L1187B999D3F"
"dance and electronica","AR1VILD1187B9961C9"
"house","AR1VILD1187B9961C9"
"progressive trance","AR1VILD1187B9961C9"
"electronica","AR1VILD1187B9961C9"
"electronic","AR1VILD1187B9961C9"
"united kingdom","AR1VKHK1187FB4710A"
"instrumental","AR1VKHK1187FB4710A"
"classic pop and rock","AR1VQH21187B9B2BB7"
"thrash metal","AR1VTN71187B991D87"
"metalcore","AR1VTN71187B991D87"
"metal","AR1VTN71187B991D87"
"british","AR1VWD91187FB4CE99"
"english","AR1VWD91187FB4CE99"
"psychedelic rock","AR1VWD91187FB4CE99"
"rnb","AR1VWD91187FB4CE99"
"rock","AR1VWD91187FB4CE99"
"blues rock","AR1VWD91187FB4CE99"
"uk","AR1VWD91187FB4CE99"
"rock and indie","AR1VWD91187FB4CE99"
"death metal","AR1VX9V1187B9903D2"
"uk","AR1W94W1187B992A7D"
"4ad","AR1W94W1187B992A7D"
"british","AR1W94W1187B992A7D"
"english","AR1W94W1187B992A7D"
"classic pop and rock","AR1WC0X1187B991056"
"b00138f5lm","AR1WC0X1187B991056"
"dance and electronica","AR1WEZI1187B9AA902"
"eurovision","AR1WFQX1187B9BA2B8"
"french","AR1WFQX1187B9BA2B8"
"minimal","AR1WJNN1187B98D5BB"
"ambient","AR1WJNN1187B98D5BB"
"electronic","AR1WJNN1187B98D5BB"
"glitch","AR1WJNN1187B98D5BB"
"soul and reggae","AR1WKBM1187FB38900"
"reggae","AR1WWVL1187B9B0306"
"birmingham","AR1WWVL1187B9B0306"
"uk","AR1WWVL1187B9B0306"
"british","AR1WWVL1187B9B0306"
"english","AR1WWVL1187B9B0306"
"classic pop and rock","AR1WWVL1187B9B0306"
"soul and reggae","AR1WWVL1187B9B0306"
"french","AR1X2H01187B98CCF2"
"progressive metal","AR1X9I91187FB36254"
"neu rave","AR1XA631187FB57662"
"uk","AR1XA631187FB57662"
"psychedelic pop","AR1XA631187FB57662"
"new rave","AR1XA631187FB57662"
"britannique","AR1XA631187FB57662"
"british","AR1XA631187FB57662"
"rock and indie","AR1XA631187FB57662"
"progressive rock","AR1XABQ1187B9B178A"
"retro prog","AR1XABQ1187B9B178A"
"easy listening soundtracks and musicals","AR1XD261187B9ACF9B"
"alternative rock","AR1XEHY1187B991393"
"rock","AR1XEHY1187B991393"
"american","AR1XEHY1187B991393"
"indie rock","AR1XEHY1187B991393"
"jazz and blues","AR1XIHA1187FB4AED3"
"german","AR1XMED1187B995BD4"
"indie","AR1XMED1187B995BD4"
"indie pop","AR1XMED1187B995BD4"
"pop","AR1XMED1187B995BD4"
"idm","AR1XR3N1187FB372C5"
"electronic","AR1XR3N1187FB372C5"
"folk","AR1XRGZ1187FB5392A"
"folk","AR1XUYS1187B9A44D7"
"celtic","AR1XUYS1187B9A44D7"
"folk rock","AR1XWI51187B9B2101"
"rock","AR1XWI51187B9B2101"
"american","AR1XWI51187B9B2101"
"folk","AR1XWI51187B9B2101"
"french","AR1Y9BJ1187FB47430"
"paris","AR1Y9BJ1187FB47430"
"european","AR1YET41187B9AE2CB"
"german","AR1YET41187B9AE2CB"
"pop and chart","AR1YET41187B9AE2CB"
"post-punk","AR1YNET1187FB3BE6C"
"rock and indie","AR1YNET1187FB3BE6C"
"folk","AR1YOA01187FB4D066"
"hip hop rnb and dance hall","AR1YTOP1187FB585C4"
"folk","AR1YWN01187FB55249"
"warp","AR1Z0VP1187FB3CF14"
"german","AR1ZBTG1187FB47E2F"
"german","AR1ZKBE1187FB53629"
"electronic","AR1ZKBE1187FB53629"
"synthpop","AR1ZKBE1187FB53629"
"krautrock","AR1ZKBE1187FB53629"
"classic pop and rock","AR1ZKBE1187FB53629"
"electro","AR1ZKBE1187FB53629"
"european","AR1ZKBE1187FB53629"
"düsseldorf","AR1ZKBE1187FB53629"
"techno","AR1ZKBE1187FB53629"
"rock","AR1ZKBE1187FB53629"
"industrial","AR1ZKBE1187FB53629"
"rock and indie","AR1ZYLH1187B98C159"
"hip hop","AR1ZYLH1187B98C159"
"production music","AR1ZZOW1187B99BA84"
"uk","AR202DD1187B9923C6"
"british","AR202DD1187B9923C6"
"english","AR202DD1187B9923C6"
"hip hop rnb and dance hall","AR202MX1187B9B0383"
"hip hop rnb and dance hall","AR207DY1187B989731"
"world","AR209WZ1187FB37F8C"
"rock and indie","AR20ODR1187FB55619"
"us","AR20ODR1187FB55619"
"hiphop","AR20ODR1187FB55619"
"british","AR20RMZ1187B9B2994"
"english","AR20RMZ1187B9B2994"
"uk","AR20RMZ1187B9B2994"
"electronic","AR20RMZ1187B9B2994"
"london","AR20RMZ1187B9B2994"
"punk","AR20XWY1187FB3CAEB"
"california","AR20XWY1187FB3CAEB"
"usa","AR20XWY1187FB3CAEB"
"uk","AR20Z421187FB40C07"
"british","AR20Z421187FB40C07"
"english","AR20Z421187FB40C07"
"riot grrrl","AR20Z421187FB40C07"
"metal","AR212SC1187FB4A4F9"
"hard rock","AR212SC1187FB4A4F9"
"british","AR212SC1187FB4A4F9"
"nwobhm","AR212SC1187FB4A4F9"
"rock","AR212SC1187FB4A4F9"
"rock n roll","AR212SC1187FB4A4F9"
"speed metal","AR212SC1187FB4A4F9"
"heavy metal","AR212SC1187FB4A4F9"
"gratuitous heavy metal umlaut","AR212SC1187FB4A4F9"
"classic pop and rock","AR212SC1187FB4A4F9"
"uk","AR212XJ1187B98A1B8"
"british","AR212XJ1187B98A1B8"
"english","AR212XJ1187B98A1B8"
"asian","AR212XJ1187B98A1B8"
"british asian","AR212XJ1187B98A1B8"
"rock and indie","AR212XJ1187B98A1B8"
"trance","AR219DK1187FB4CEFC"
"electronic","AR219DK1187FB4CEFC"
"european","AR219DK1187FB4CEFC"
"german","AR219DK1187FB4CEFC"
"classical","AR21WU61187FB47878"
"thrash metal","AR21X5F1187FB380A5"
"rnb","AR21YNH1187FB49649"
"rap","AR21YNH1187FB49649"
"hip-hop","AR21YNH1187FB49649"
"british","AR21YNH1187FB49649"
"hip hop rnb and dance hall","AR21YNH1187FB49649"
"american","AR223M11187B9ADDD6"
"classic pop and rock","AR2251P1187FB5983E"
"rnb","AR2251P1187FB5983E"
"urban contemporary","AR2251P1187FB5983E"
"american","AR2251P1187FB5983E"
"dance-pop","AR2251P1187FB5983E"
"dance and electronica","AR226CG1187B9B1748"
"country","AR227JP1187FB375BC"
"uk","AR22GNA1187B9AA754"
"british","AR22GNA1187B9AA754"
"english","AR22GNA1187B9AA754"
"american","AR22HWU1187FB5A9A6"
"hip-hop","AR22HWU1187FB5A9A6"
"finnish","AR22KLC1187B98E812"
"american","AR22MPF1187B994451"
"rock and indie","AR22PYY1187FB36E5C"
"kpop","AR238371187B994B44"
"jpop","AR238371187B994B44"
"c-pop","AR238371187B994B44"
"k-pop","AR238371187B994B44"
"japanese","AR238371187B994B44"
"j-pop","AR238371187B994B44"
"pop","AR238371187B994B44"
"electronic","AR239ZG1187B98930E"
"electro","AR239ZG1187B98930E"
"rap","AR23C041187FB4D534"
"hip-hop","AR23C041187FB4D534"
"hip hop rnb and dance hall","AR23C041187FB4D534"
"kreuzberg","AR23KBU1187B99D434"
"berlin kreuzberg","AR23KBU1187B99D434"
"german","AR23KBU1187B99D434"
"berlin","AR23KBU1187B99D434"
"mandarin","AR23SSG1187FB3AC75"
"taiwanese","AR23SSG1187FB3AC75"
"chinese","AR23SSG1187FB3AC75"
"classic pop and rock","AR23TKS1187B9B61B2"
"pop-punk","AR24BF81187B98EEB6"
"rock","AR24BF81187B98EEB6"
"american","AR24BF81187B98EEB6"
"soul and reggae","AR24DZB1187FB3C869"
"folk","AR24G861187B9B7FAC"
"dance","AR24LA21187FB58F60"
"electronic","AR24W771187B9AFAF6"
"german","AR24W771187B9AFAF6"
"power noise","AR24W771187B9AFAF6"
"american","AR24XPH1187FB58AA5"
"country","AR24XPH1187FB58AA5"
"pop","AR24XPH1187FB58AA5"
"russian","AR25AKF1187FB50294"
"uk","AR25ETZ1187FB4656C"
"british","AR25ETZ1187FB4656C"
"english","AR25ETZ1187FB4656C"
"soundtrack composer","AR25WM21187FB461B3"
"french","AR25WM21187FB461B3"
"production music","AR25WM21187FB461B3"
"world","AR25ZLK1187FB3AE82"
"fusion","AR25ZLK1187FB3AE82"
"electronica","AR25ZLK1187FB3AE82"
"indian","AR25ZLK1187FB3AE82"
"classic pop and rock","AR2665Z1187FB56AB9"
"folk","AR26HRX1187FB3620F"
"classic pop and rock","AR26N5C1187FB52DDB"
"french","AR271V81187FB4F160"
"rock","AR27AEB1187B98D39D"
"american","AR27AEB1187B98D39D"
"rock and indie","AR27AEB1187B98D39D"
"blues","AR27AEB1187B98D39D"
"rock and roll","AR27AEB1187B98D39D"
"world","AR27CBZ1187B9ADD79"
"german","AR27I661187FB47075"
"depro-punk","AR27I661187FB47075"
"post-punk","AR27I661187FB47075"
"melancholic","AR27I661187FB47075"
"melodic death metal","AR27M2F1187B9B1C50"
"swedish","AR27M2F1187B9B1C50"
"metal","AR27M2F1187B9B1C50"
"gothenburg","AR27M2F1187B9B1C50"
"gothenburg metal","AR27M2F1187B9B1C50"
"classic pop and rock","AR27WDS1187FB39823"
"french","AR27XEH1187FB4EC83"
"singer","AR285BY1187FB3965B"
"jazz","AR285BY1187FB3965B"
"american","AR285BY1187FB3965B"
"pianist","AR285BY1187FB3965B"
"punk","AR28R321187FB4CA01"
"new orleans","AR28R321187FB4CA01"
"power pop","AR28R321187FB4CA01"
"usa","AR28R321187FB4CA01"
"atp","AR28U6O1187FB5842A"
"atp recordings","AR28U6O1187FB5842A"
"all tomorrows parties","AR28U6O1187FB5842A"
"noise","AR28U6O1187FB5842A"
"dance and electronica","AR28U6O1187FB5842A"
"topnotch","AR29Q2L1187B99F14B"
"arabic","AR29Q2L1187B99F14B"
"rap","AR29Q2L1187B99F14B"
"dutch","AR29Q2L1187B99F14B"
"nl","AR29Q2L1187B99F14B"
"hiphop","AR29Q2L1187B99F14B"
"soundtrack","AR29ZZM1187B9B04C7"
"english","AR29ZZM1187B9B04C7"
"easy listening soundtracks and musicals","AR29ZZM1187B9B04C7"
"film composer","AR29ZZM1187B9B04C7"
"production music","AR29ZZM1187B9B04C7"
"parlophone","AR2A6UJ1187FB4BF5C"
"uk","AR2A6UJ1187FB4BF5C"
"british","AR2A6UJ1187FB4BF5C"
"english","AR2A6UJ1187FB4BF5C"
"rock and indie","AR2A6UJ1187FB4BF5C"
"death metal","AR2A9N61187FB388CC"
"american","AR2A9N61187FB388CC"
"metal","AR2A9N61187FB388CC"
"technical","AR2A9N61187FB388CC"
"uk","AR2AEIR1187B9B9FC9"
"crust","AR2AEIR1187B9B9FC9"
"punk","AR2AEIR1187B9B9FC9"
"england","AR2AEIR1187B9B9FC9"
"anarcho","AR2AEIR1187B9B9FC9"
"crust punk","AR2AEIR1187B9B9FC9"
"anarcho-punk","AR2AEIR1187B9B9FC9"
"british","AR2AEIR1187B9B9FC9"
"metal","AR2AEIR1187B9B9FC9"
"punk","AR2AP901187FB3BE5B"
"germany","AR2AP901187FB3BE5B"
"berlin","AR2AP901187FB3BE5B"
"ninja tune","AR2AVSC1187B991634"
"uk","AR2AVSC1187B991634"
"british","AR2AVSC1187B991634"
"english","AR2AVSC1187B991634"
"dance and electronica","AR2AVSC1187B991634"
"idm","AR2AVSC1187B991634"
"london","AR2AXFR1187FB53BA6"
"england","AR2AXFR1187FB53BA6"
"uk","AR2AXFR1187FB53BA6"
"punk","AR2AXFR1187FB53BA6"
"rock and indie","AR2B0DQ1187B99B220"
"czechoslovakia","AR2B8ON1187FB58456"
"french","AR2BG1S1187FB52489"
"french metal","AR2BG1S1187FB52489"
"metal","AR2BG1S1187FB52489"
"finnish","AR2BNTC1187B9B73A0"
"greek","AR2BOYD1187FB5BEA4"
"rock and indie","AR2BS1V1187B9AA66D"
"tango nuevo","AR2C1RF1187B9B53EF"
"bandoneonist","AR2C1RF1187B9B53EF"
"world","AR2C1RF1187B9B53EF"
"tangazo","AR2C1RF1187B9B53EF"
"country","AR2C54R1187B993B4C"
"rock","AR2C54R1187B993B4C"
"american","AR2C54R1187B993B4C"
"folk","AR2C54R1187B993B4C"
"pop","AR2C54R1187B993B4C"
"blues rock","AR2C54R1187B993B4C"
"classic pop and rock","AR2C54R1187B993B4C"
"german","AR2C5G51187FB4203F"
"post-rock","AR2C5G51187FB4203F"
"hamburger schule","AR2C5G51187FB4203F"
"indie rock","AR2C5G51187FB4203F"
"country","AR2CD9Z1187FB5B754"
"folk","AR2CD9Z1187FB5B754"
"uk","AR2CRN41187FB38538"
"british","AR2CRN41187FB38538"
"english","AR2CRN41187FB38538"
"4ad","AR2CRN41187FB38538"
"english","AR2D0XK1187B98EC4A"
"production music","AR2D0XK1187B98EC4A"
"greek","AR2D2VJ1187FB3CAA3"
"rock and indie","AR2DGLV1187FB59329"
"american","AR2DGPY1187FB4CECF"
"pop","AR2DGPY1187FB4CECF"
"rock","AR2DGPY1187FB4CECF"
"surf","AR2DGPY1187FB4CECF"
"classic pop and rock","AR2DGPY1187FB4CECF"
"psychedelic rock","AR2DGPY1187FB4CECF"
"surf rock","AR2DGPY1187FB4CECF"
"américain","AR2DGPY1187FB4CECF"
"usa","AR2DGPY1187FB4CECF"
"rock and roll","AR2DGPY1187FB4CECF"
"electronic","AR2DGXT11C8A42C4EF"
"australian","AR2DGXT11C8A42C4EF"
"electro","AR2DGXT11C8A42C4EF"
"remixer","AR2DGXT11C8A42C4EF"
"pop","AR2DGXT11C8A42C4EF"
"synth pop","AR2DGXT11C8A42C4EF"
"melbourne","AR2DGXT11C8A42C4EF"
"disco","AR2DGXT11C8A42C4EF"
"dance","AR2DGXT11C8A42C4EF"
"czech","AR2DI2C1187B9B1119"
"classic pop and rock","AR2DMY71187B9A4516"
"scotish","AR2DMY71187B9A4516"
"soft rock","AR2DMY71187B9A4516"
"male vocalists","AR2DMY71187B9A4516"
"pop","AR2DMY71187B9A4516"
"90s","AR2DMY71187B9A4516"
"80s","AR2DMY71187B9A4516"
"rock and indie","AR2DP8Z1187FB3C4D7"
"nintendocore","AR2DP8Z1187FB3C4D7"
"uk","AR2E25L1187B98A64D"
"punk","AR2E25L1187B98A64D"
"norfolk","AR2E25L1187B98A64D"
"norwich","AR2E25L1187B98A64D"
"norwegian","AR2EBRG1187B9B07C8"
"classic pop and rock","AR2EC591187FB4B3E4"
"heavy metal","AR2EHIJ1187B9A45BC"
"thrash metal","AR2EHIJ1187B9A45BC"
"power metal","AR2EHIJ1187B9A45BC"
"uk","AR2EMEJ1187FB3BB2B"
"indie","AR2EMEJ1187FB3BB2B"
"usa","AR2EMEJ1187FB3BB2B"
"easy listening soundtracks and musicals","AR2EO6H1187B9A3B92"
"composer","AR2EO6H1187B9A3B92"
"hardcore punk","AR2FAMK1187FB4CF60"
"alternative rock","AR2FAMK1187FB4CF60"
"rock","AR2FAMK1187FB4CF60"
"american","AR2FAMK1187FB4CF60"
"punk rock","AR2FAMK1187FB4CF60"
"rock and indie","AR2FAMK1187FB4CF60"
"punk","AR2FAMK1187FB4CF60"
"usa","AR2FAMK1187FB4CF60"
"classic pop and rock","AR2FO2M1187B9B9C81"
"puerto rican","AR2FSX31187B98E3EF"
"dutch","AR2G2K11187FB55D70"
"the netherlands","AR2G2K11187FB55D70"
"jazz and blues","AR2G8SU1187FB4A871"
"futurepop","AR2GAGN1187B9A07C9"
"aggrotech","AR2GAGN1187B9A07C9"
"electro-industrial","AR2GAGN1187B9A07C9"
"jazz","AR2GAOJ1187FB57B68"
"swedish","AR2GAOJ1187FB57B68"
"jazz and blues","AR2GAOJ1187FB57B68"
"czech","AR2GFJV1187B9A4805"
"european","AR2GFJV1187B9A4805"
"rock and indie","AR2GFJV1187B9A4805"
"canadian","AR2GWFK1187FB38CBF"
"american","AR2H1J41187FB5C640"
"video game","AR2H1J41187FB5C640"
"soundtrack","AR2H1J41187FB5C640"
"film composer","AR2H1J41187FB5C640"
"singer","AR2H1J41187FB5C640"
"lyricist","AR2H1J41187FB5C640"
"united states","AR2H1J41187FB5C640"
"folk","AR2HFGH1187FB43D13"
"dutch","AR2HFII1187FB378BC"
"german","AR2HSTW1187FB4B8F3"
"hip hop","AR2HSTW1187FB4B8F3"
"punk","AR2HV331187B9931B5"
"california","AR2HV331187B9931B5"
"usa","AR2HV331187B9931B5"
"san francisco","AR2HV331187B9931B5"
"classic pop and rock","AR2HXXS1187B9AF3E2"
"classic pop and rock","AR2I8O01187B9ADF56"
"american","AR2IEWC1187FB3F042"
"uk","AR2IJAY1187B991E28"
"happy hardcore","AR2IJAY1187B991E28"
"swedish","AR2IKF71187FB4D0C2"
"pop","AR2IKF71187FB4D0C2"
"europop","AR2IKF71187FB4D0C2"
"european","AR2IKF71187FB4D0C2"
"eurodance","AR2IKF71187FB4D0C2"
"adult contemporary","AR2IKF71187FB4D0C2"
"electronic","AR2IKF71187FB4D0C2"
"canadian","AR2IQVG1187B98DEAB"
"turntablism","AR2IQVG1187B98DEAB"
"electronic","AR2IQVG1187B98DEAB"
"ninja tune","AR2IQVG1187B98DEAB"
"jazz and blues","AR2IXXH1187FB52709"
"rock and indie","AR2JB471187FB470A2"
"folk","AR2JSO31187FB5405E"
"folk","AR2K3Q81187B9B44A2"
"the netherlands","AR2KQ1S1187B9AD1AB"
"tour d amour","AR2KQ1S1187B9AD1AB"
"seen live","AR2KZHF1187B9B2ABF"
"gothic metal","AR2KZHF1187B9B2ABF"
"symphonic metal","AR2KZHF1187B9B2ABF"
"german","AR2KZHF1187B9B2ABF"
"metal","AR2KZHF1187B9B2ABF"
"production music","AR2L2GV11C8A42C818"
"classic pop and rock","AR2L81L1187FB57A5A"
"ambient","AR2L9A61187B9ADDBC"
"electronic","AR2L9A61187B9ADDBC"
"german","AR2L9A61187B9ADDBC"
"krautrock","AR2L9A61187B9ADDBC"
"new age","AR2L9A61187B9ADDBC"
"european","AR2L9A61187B9ADDBC"
"classic pop and rock","AR2L9A61187B9ADDBC"
"berlin school","AR2L9A61187B9ADDBC"
"synthesizer","AR2L9A61187B9ADDBC"
"rock","AR2L9A61187B9ADDBC"
"rock and indie","AR2LUU51187B9B1E70"
"finnish","AR2M3VJ1187FB4EAE8"
"uk","AR2MBVD1187FB39A78"
"scottish","AR2MBVD1187FB39A78"
"british","AR2MBVD1187FB39A78"
"english","AR2MBVD1187FB39A78"
"rock","AR2MMCK1187B99E100"
"blues","AR2MMCK1187B99E100"
"metal","AR2MMCK1187B99E100"
"soul","AR2MMCK1187B99E100"
"english","AR2MMCK1187B99E100"
"production music","AR2MPI51187B9912BC"
"4ad","AR2MPK01187FB4D192"
"delta blues","AR2MSUY1187B9B4602"
"chicago blues","AR2MSUY1187B9B4602"
"electric blues","AR2MSUY1187B9B4602"
"american","AR2MSUY1187B9B4602"
"classic pop and rock","AR2MSUY1187B9B4602"
"blues","AR2MSUY1187B9B4602"
"quiet storm","AR2NCM21187B991D45"
"rnb","AR2NCM21187B991D45"
"jazz","AR2NCM21187B991D45"
"american","AR2NCM21187B991D45"
"smooth jazz","AR2NCM21187B991D45"
"adult contemporary","AR2NCM21187B991D45"
"soul","AR2NCM21187B991D45"
"soul and reggae","AR2NCM21187B991D45"
"rock","AR2NICF1187B99F93B"
"american","AR2NICF1187B99F93B"
"indie rock","AR2NICF1187B99F93B"
"bristol","AR2NJG71187FB5203E"
