"term","artist_id"
"america","AR01C201187B9B7F3D"
"original","AR01C201187B9B7F3D"
"indie","AR01C201187B9B7F3D"
"downtempo","AR01CEY1187FB51FE0"
"uk garage","AR01CEY1187FB51FE0"
"intelligent dance music","AR01CEY1187FB51FE0"
"british pop","AR01CEY1187FB51FE0"
"indie rock","AR01CEY1187FB51FE0"
"reggae","AR01CEY1187FB51FE0"
"electronic","AR01CEY1187FB51FE0"
"pop rock","AR01CEY1187FB51FE0"
"alternative rock","AR01CEY1187FB51FE0"
"rock","AR01CEY1187FB51FE0"
"indie pop","AR01CEY1187FB51FE0"
"punk","AR01CEY1187FB51FE0"
"pop","AR01CEY1187FB51FE0"
"british","AR01CEY1187FB51FE0"
"alternative","AR01CEY1187FB51FE0"
"indie","AR01CEY1187FB51FE0"
"house","AR01CEY1187FB51FE0"
"spain","AR01CEY1187FB51FE0"
"mod","AR01CEY1187FB51FE0"
"bbc introducing","AR01CEY1187FB51FE0"
"glastonbury 2008","AR01CEY1187FB51FE0"
"guitar pop","AR01CEY1187FB51FE0"
"liverpool","AR01CEY1187FB51FE0"
"garage house","AR01CEY1187FB51FE0"
"hard trance","AR01CVS1187B99E9DD"
"hardstyle","AR01CVS1187B99E9DD"
"hard house","AR01CVS1187B99E9DD"
"tech house","AR01CVS1187B99E9DD"
"hip hop","AR01CVS1187B99E9DD"
"trance","AR01CVS1187B99E9DD"
"happy hardcore","AR01CVS1187B99E9DD"
"rave","AR01CVS1187B99E9DD"
"techno","AR01CVS1187B99E9DD"
"electronic","AR01CVS1187B99E9DD"
"progressive trance","AR01CVS1187B99E9DD"
"electro","AR01CVS1187B99E9DD"
"rap","AR01CVS1187B99E9DD"
"hardcore","AR01CVS1187B99E9DD"
"nederland","AR01CVS1187B99E9DD"
"dj","AR01CVS1187B99E9DD"
"spain","AR01CVS1187B99E9DD"
"germany","AR01CVS1187B99E9DD"
"urban","AR01CVS1187B99E9DD"
"acid","AR01CVS1187B99E9DD"
"jumpstyle","AR01CVS1187B99E9DD"
"hard dance","AR01CVS1187B99E9DD"
"sensation black","AR01CVS1187B99E9DD"
"south africa","AR01CVS1187B99E9DD"
"party music","AR01CVS1187B99E9DD"
"hard bass","AR01CVS1187B99E9DD"
"sensation black 2006","AR01CVS1187B99E9DD"
"r&b","AR01CVS1187B99E9DD"
"cumbia","AR01G6G1187B9892EF"
"los angeles","AR01G6G1187B9892EF"
"soft rock","AR01G6G1187B9892EF"
"concerto","AR01G6G1187B9892EF"
"ska","AR01G6G1187B9892EF"
"reggae","AR01G6G1187B9892EF"
"easy listening","AR01G6G1187B9892EF"
"dub","AR01G6G1187B9892EF"
"funk","AR01G6G1187B9892EF"
"latin","AR01G6G1187B9892EF"
"spanish","AR01G6G1187B9892EF"
"italian","AR01G6G1187B9892EF"
"alternative","AR01G6G1187B9892EF"
"rock","AR01G6G1187B9892EF"
"folk","AR01G6G1187B9892EF"
"retro","AR01G6G1187B9892EF"
"electronic","AR01G6G1187B9892EF"
"pop","AR01G6G1187B9892EF"
"acoustic","AR01G6G1187B9892EF"
"male","AR01G6G1187B9892EF"
"political","AR01G6G1187B9892EF"
"heavy","AR01G6G1187B9892EF"
"spain","AR01G6G1187B9892EF"
"poetry","AR01G6G1187B9892EF"
"spanish rock","AR01G6G1187B9892EF"
"rock en espanol","AR01G6G1187B9892EF"
"spanish pop","AR01G6G1187B9892EF"
"cuban","AR01G6G1187B9892EF"
"italy","AR01G6G1187B9892EF"
"patchanka","AR01G6G1187B9892EF"
"spanish indie pop","AR01G6G1187B9892EF"
"adult alternative","AR01G6G1187B9892EF"
"gypsy","AR01G6G1187B9892EF"
"italian pop","AR01G6G1187B9892EF"
"italian music","AR01G6G1187B9892EF"
"chile","AR01G6G1187B9892EF"
"folk rock","AR01HKT1187B996F26"
"indie","AR01HKT1187B996F26"
"rock","AR01HKT1187B996F26"
"indie folk","AR01HKT1187B996F26"
"indie rock","AR01HKT1187B996F26"
"lo-fi","AR01HKT1187B996F26"
"alternative","AR01HKT1187B996F26"
"guitar","AR01HKT1187B996F26"
"beautiful","AR01HKT1187B996F26"
"acoustic","AR01HKT1187B996F26"
"emotional","AR01HKT1187B996F26"
"folk","AR01HKT1187B996F26"
"sad","AR01HKT1187B996F26"
"song writer","AR01HKT1187B996F26"
"pop","AR01HKT1187B996F26"
"lyrics","AR01HKT1187B996F26"
"instrumental","AR01HKT1187B996F26"
"90s","AR01HKT1187B996F26"
"funny","AR01HKT1187B996F26"
"metal","AR01HKT1187B996F26"
"country","AR01HKT1187B996F26"
"post rock","AR01HXB1187FB54C93"
"indie rock","AR01HXB1187FB54C93"
"dream pop","AR01HXB1187FB54C93"
"indie pop","AR01HXB1187FB54C93"
"instrumental rock","AR01HXB1187FB54C93"
"rock","AR01HXB1187FB54C93"
"experimental rock","AR01HXB1187FB54C93"
"math rock","AR01HXB1187FB54C93"
"emo","AR01HXB1187FB54C93"
"ethereal","AR01HXB1187FB54C93"
"alternative rock","AR01HXB1187FB54C93"
"chill-out","AR01HXB1187FB54C93"
"united states","AR01HXB1187FB54C93"
"indie","AR01HXB1187FB54C93"
"instrumental","AR01HXB1187FB54C93"
"ambient","AR01HXB1187FB54C93"
"seattle","AR01HXB1187FB54C93"
"alternative","AR01HXB1187FB54C93"
"christian","AR01HXB1187FB54C93"
"pop","AR01HXB1187FB54C93"
"acoustic","AR01HXB1187FB54C93"
"00s","AR01HXB1187FB54C93"
"experimental","AR01HXB1187FB54C93"
"american","AR01HXB1187FB54C93"
"switzerland","AR01HXB1187FB54C93"
"deep","AR01HXB1187FB54C93"
"fir","AR01HXB1187FB54C93"
"instrumental post rock","AR01HXB1187FB54C93"
"washington","AR01HXB1187FB54C93"
"ambient pop","AR01HXB1187FB54C93"
"christian indie","AR01HXB1187FB54C93"
"progressive","AR01HXB1187FB54C93"
"oklahoma","AR01HXB1187FB54C93"
"straight edge","AR01IP11187B9AF5D2"
"christian hardcore","AR01IP11187B9AF5D2"
"hardcore punk","AR01IP11187B9AF5D2"
"heavy metal","AR01IP11187B9AF5D2"
"united states","AR01IP11187B9AF5D2"
"hardcore","AR01IP11187B9AF5D2"
"christian","AR01IP11187B9AF5D2"
"punk","AR01IP11187B9AF5D2"
"old school hardcore","AR01IP11187B9AF5D2"
"florida","AR01IP11187B9AF5D2"
"american","AR01IP11187B9AF5D2"
"heavy","AR01IP11187B9AF5D2"
"punk metal","AR01IP11187B9AF5D2"
"moshcore","AR01IP11187B9AF5D2"
"angry","AR01IP11187B9AF5D2"
"spirit-filled hardcore","AR01IP11187B9AF5D2"
"facedown records","AR01IP11187B9AF5D2"
"flhc","AR01IP11187B9AF5D2"
"alternative rock","AR01IP11187B9AF5D2"
"disco","AR01OSO1187B9AA610"
"jazz","AR01OSO1187B9AA610"
"calypso","AR01OSO1187B9AA610"
"afrobeat","AR01OSO1187B9AA610"
"electronic","AR01OSO1187B9AA610"
"electro","AR01OSO1187B9AA610"
"pop","AR01OSO1187B9AA610"
"funk","AR01OSO1187B9AA610"
"hip hop","AR01OSO1187B9AA610"
"techno","AR01OSO1187B9AA610"
"latin","AR01OSO1187B9AA610"
"70s","AR01OSO1187B9AA610"
"united states","AR01OSO1187B9AA610"
"spain","AR01OSO1187B9AA610"
"canada","AR01OSO1187B9AA610"
"funk soul","AR01OSO1187B9AA610"
"synthpop","AR01OSO1187B9AA610"
"house","AR01OSO1187B9AA610"
"experimental","AR01OSO1187B9AA610"
"germany","AR01OSO1187B9AA610"
"alternative rock","AR01OSO1187B9AA610"
"illbient","AR01RRX1187B9896B0"
"dub","AR01RRX1187B9896B0"
"trip hop","AR01RRX1187B9896B0"
"broken beat","AR01RRX1187B9896B0"
"jungle music","AR01RRX1187B9896B0"
"electronic","AR01RRX1187B9896B0"
"ambient","AR01RRX1187B9896B0"
"rock","AR01RRX1187B9896B0"
"drum and bass","AR01RRX1187B9896B0"
"electronica","AR01RRX1187B9896B0"
"downtempo","AR01RRX1187B9896B0"
"experimental","AR01RRX1187B9896B0"
"90s rock","AR01RRX1187B9896B0"
"psychedelic","AR01RRX1187B9896B0"
"united states","AR01RRX1187B9896B0"
"new york","AR01RRX1187B9896B0"
"pop","AR01RRX1187B9896B0"
"00s","AR01RRX1187B9896B0"
"noise","AR01RRX1187B9896B0"
"abstract","AR01RRX1187B9896B0"
"dark","AR01RRX1187B9896B0"
"ambient dub","AR01RRX1187B9896B0"
"ambient techno","AR01RRX1187B9896B0"
"90s pop","AR01RRX1187B9896B0"
"country blues","AR01S3D1187FB50A53"
"blues","AR01S3D1187FB50A53"
"folk rock","AR01S3D1187FB50A53"
"blues-rock","AR01S3D1187FB50A53"
"piedmont blues","AR01S3D1187FB50A53"
"country rock","AR01S3D1187FB50A53"
"bluegrass","AR01S3D1187FB50A53"
"post rock","AR01S3D1187FB50A53"
"folk","AR01S3D1187FB50A53"
"rock","AR01S3D1187FB50A53"
"country","AR01S3D1187FB50A53"
"world","AR01S3D1187FB50A53"
"indie rock","AR01S3D1187FB50A53"
"intelligent dance music","AR01S3D1187FB50A53"
"emo","AR01S3D1187FB50A53"
"lo-fi","AR01S3D1187FB50A53"
"singer-songwriter","AR01S3D1187FB50A53"
"electronic","AR01S3D1187FB50A53"
"americana","AR01S3D1187FB50A53"
"united states","AR01S3D1187FB50A53"
"minnesota","AR01S3D1187FB50A53"
"acoustic","AR01S3D1187FB50A53"
"experimental","AR01S3D1187FB50A53"
"american","AR01S3D1187FB50A53"
"00s","AR01S3D1187FB50A53"
"dwars","AR01S3D1187FB50A53"
"banjo","AR01S3D1187FB50A53"
"traditional folk","AR01S3D1187FB50A53"
"traditional","AR01S3D1187FB50A53"
"acoustic blues","AR01S3D1187FB50A53"
"duluth","AR01S3D1187FB50A53"
"celtic punk","AR01SCU1187B9A693C"
"oi","AR01SCU1187B9A693C"
"folk punk","AR01SCU1187B9A693C"
"celtic rock","AR01SCU1187B9A693C"
"pop punk","AR01SCU1187B9A693C"
"massachusetts","AR01SCU1187B9A693C"
"nu metal","AR01SCU1187B9A693C"
"celtic","AR01SCU1187B9A693C"
"power pop","AR01SCU1187B9A693C"
"screamo","AR01SCU1187B9A693C"
"hardcore punk","AR01SCU1187B9A693C"
"punk","AR01SCU1187B9A693C"
"new wave","AR01SCU1187B9A693C"
"metalcore","AR01SCU1187B9A693C"
"rock","AR01SCU1187B9A693C"
"emo","AR01SCU1187B9A693C"
"united states","AR01SCU1187B9A693C"
"alternative rock","AR01SCU1187B9A693C"
"indie rock","AR01SCU1187B9A693C"
"street punk","AR01SCU1187B9A693C"
"boston","AR01SCU1187B9A693C"
"belgium","AR01SCU1187B9A693C"
"pop","AR01SCU1187B9A693C"
"alternative","AR01SCU1187B9A693C"
"metal","AR01SCU1187B9A693C"
"hardcore","AR01SCU1187B9A693C"
"electronic","AR01SCU1187B9A693C"
"indie","AR01SCU1187B9A693C"
"japanese","AR01SCU1187B9A693C"
"00s","AR01SCU1187B9A693C"
"folk","AR01SCU1187B9A693C"
"american","AR01SCU1187B9A693C"
"irish","AR01SCU1187B9A693C"
"mellow","AR01SCU1187B9A693C"
"political","AR01SCU1187B9A693C"
"skinhead","AR01SCU1187B9A693C"
"punk revival","AR01SCU1187B9A693C"
"punk pop","AR01SCU1187B9A693C"
"speedrock","AR01SCU1187B9A693C"
"european","AR01SCU1187B9A693C"
"jazz blues","AR01SFH1187B98AD3C"
"jug band","AR01SFH1187B98AD3C"
"blues","AR01SFH1187B98AD3C"
"classic jazz","AR01SFH1187B98AD3C"
"jazz","AR01SFH1187B98AD3C"
"violin","AR01SFH1187B98AD3C"
"united states","AR01SFH1187B98AD3C"
"dixieland","AR01SFH1187B98AD3C"
"experimental rock","AR01SQ31187FB3C4C2"
"electronic","AR01SQ31187FB3C4C2"
"experimental","AR01SQ31187FB3C4C2"
"industrial","AR01SQ31187FB3C4C2"
"techno","AR01SQ31187FB3C4C2"
"intelligent dance music","AR01SQ31187FB3C4C2"
"abstract","AR01SQ31187FB3C4C2"
"indie rock","AR01SQ31187FB3C4C2"
"electro","AR01SQ31187FB3C4C2"
"new wave","AR01SQ31187FB3C4C2"
"noise","AR01SQ31187FB3C4C2"
"germany","AR01SQ31187FB3C4C2"
"modern classical","AR01SQ31187FB3C4C2"
"alternative rock","AR01SQ31187FB3C4C2"
"rock","AR01SQ31187FB3C4C2"
"avant-garde","AR01SQ31187FB3C4C2"
"german","AR01SQ31187FB3C4C2"
"ambient","AR01SQ31187FB3C4C2"
"minimal","AR01SQ31187FB3C4C2"
"united states","AR01SQ31187FB3C4C2"
"alternative","AR01SQ31187FB3C4C2"
"drone","AR01SQ31187FB3C4C2"
"urban","AR01SQ31187FB3C4C2"
"christmas music","AR01SQ31187FB3C4C2"
"synthpop","AR01SQ31187FB3C4C2"
"russia","AR01SQ31187FB3C4C2"
"gothic rock","AR01SQ31187FB3C4C2"
"electro-acoustic","AR01SQ31187FB3C4C2"
"danish","AR01SQ31187FB3C4C2"
"achingly intelligent","AR01SQ31187FB3C4C2"
"noisy","AR01SQ31187FB3C4C2"
"old school industrial","AR01SQ31187FB3C4C2"
"holiday","AR01SQ31187FB3C4C2"
"textural","AR01SQ31187FB3C4C2"
"surrealism","AR01SQ31187FB3C4C2"
"viking metal","AR01SXQ119B86698DC"
"folk rock","AR01SXQ119B86698DC"
"folk metal","AR01SXQ119B86698DC"
"black metal","AR01SXQ119B86698DC"
"rock","AR01SXQ119B86698DC"
"heavy metal","AR01SXQ119B86698DC"
"death metal","AR01SXQ119B86698DC"
"russia","AR01SXQ119B86698DC"
"pagan metal","AR01SXQ119B86698DC"
"metal","AR01SXQ119B86698DC"
"00s","AR01SXQ119B86698DC"
"russian metal","AR01SXQ119B86698DC"
"valkyriex powerr","AR01SXQ119B86698DC"
"slavonic pagan metal","AR01SXQ119B86698DC"
"russian folk metal","AR01SXQ119B86698DC"
"alternative rock","AR01SXQ119B86698DC"
"surf music","AR01TBY1187FB57622"
"all-female","AR01TBY1187FB57622"
"instrumental rock","AR01TBY1187FB57622"
"northern soul","AR01TBY1187FB57622"
"merseybeat","AR01TBY1187FB57622"
"psychedelic rock","AR01TBY1187FB57622"
"folk rock","AR01TBY1187FB57622"
"ballad","AR01TBY1187FB57622"
"rock","AR01TBY1187FB57622"
"classic rock","AR01TBY1187FB57622"
"power pop","AR01TBY1187FB57622"
"female vocalist","AR01TBY1187FB57622"
"pop","AR01TBY1187FB57622"
"soul","AR01TBY1187FB57622"
"vocal","AR01TBY1187FB57622"
"punk","AR01TBY1187FB57622"
"60s","AR01TBY1187FB57622"
"lounge","AR01TBY1187FB57622"
"garage","AR01TBY1187FB57622"
"california","AR01TBY1187FB57622"
"mod","AR01TBY1187FB57622"
"united states","AR01TBY1187FB57622"
"girl pop","AR01TBY1187FB57622"
"love song","AR01TBY1187FB57622"
"teppaz","AR01TBY1187FB57622"
"party music","AR01TBY1187FB57622"
"funk soul","AR01TBY1187FB57622"
"1960s girl groups","AR01TBY1187FB57622"
"60s girl group","AR01TBY1187FB57622"
"rock progresivo","AR01TBY1187FB57622"
"60s girl pop","AR01TBY1187FB57622"
"alternative rock","AR01TBY1187FB57622"
"pop","AR01TDM1187B993479"
"christmas music","AR01TDM1187B993479"
"vocal","AR01TDM1187B993479"
"africa","AR01TDM1187B993479"
"south africa","AR01TDM1187B993479"
"fox","AR01TDM1187B993479"
"alternative rock","AR01TDM1187B993479"
"chill-out","AR01UD01187B99DED8"
"pop rap","AR01UD01187B99DED8"
"hip hop","AR01UD01187B99DED8"
"funk","AR01UD01187B99DED8"
"rap","AR01UD01187B99DED8"
"israel","AR01UD01187B99DED8"
"pop","AR01UD01187B99DED8"
"funky","AR01UD01187B99DED8"
"political","AR01UD01187B99DED8"
"jewish","AR01UD01187B99DED8"
"hebrew","AR01UD01187B99DED8"
"hard rock","AR01VU31187B997DA0"
"blues-rock","AR01VU31187B997DA0"
"funk rock","AR01VU31187B997DA0"
"funk","AR01VU31187B997DA0"
"heavy metal","AR01VU31187B997DA0"
"jam band","AR01VU31187B997DA0"
"southern rock","AR01VU31187B997DA0"
"album rock","AR01VU31187B997DA0"
"arena rock","AR01VU31187B997DA0"
"post rock","AR01VU31187B997DA0"
"classic rock","AR01VU31187B997DA0"
"garage rock","AR01VU31187B997DA0"
"easy listening","AR01VU31187B997DA0"
"rock","AR01VU31187B997DA0"
"stoner rock","AR01VU31187B997DA0"
"oldies","AR01VU31187B997DA0"
"boogie rock","AR01VU31187B997DA0"
"detroit rock","AR01VU31187B997DA0"
"psychedelic rock","AR01VU31187B997DA0"
"progressive rock","AR01VU31187B997DA0"
"blues","AR01VU31187B997DA0"
"united states","AR01VU31187B997DA0"
"jazz","AR01VU31187B997DA0"
"70s","AR01VU31187B997DA0"
"rap","AR01VU31187B997DA0"
"male vocalist","AR01VU31187B997DA0"
"american","AR01VU31187B997DA0"
"classic","AR01VU31187B997DA0"
"metal","AR01VU31187B997DA0"
"electronic","AR01VU31187B997DA0"
"alternative","AR01VU31187B997DA0"
"pop","AR01VU31187B997DA0"
"60s","AR01VU31187B997DA0"
"guitar","AR01VU31187B997DA0"
"detroit","AR01VU31187B997DA0"
"heavy","AR01VU31187B997DA0"
"jam","AR01VU31187B997DA0"
"punk","AR01VU31187B997DA0"
"psychedelic","AR01VU31187B997DA0"
"80s","AR01VU31187B997DA0"
"groovy","AR01VU31187B997DA0"
"stoner","AR01VU31187B997DA0"
"garage","AR01VU31187B997DA0"
"electro","AR01W2D1187FB5912F"
"alternative rock","AR01W2D1187FB5912F"
"rock","AR01W2D1187FB5912F"
"alternative","AR01W2D1187FB5912F"
"alternative rap","AR01W2D1187FB5912F"
"rap","AR01W2D1187FB5912F"
"soundtrack","AR01W2D1187FB5912F"
"electronica","AR01W2D1187FB5912F"
"pop","AR01W2D1187FB5912F"
"electronic","AR01W2D1187FB5912F"
"funny","AR01W2D1187FB5912F"
"party music","AR01W2D1187FB5912F"
"bass","AR01W2D1187FB5912F"
"duo","AR01W2D1187FB5912F"
"indie","AR01W2D1187FB5912F"
"remix","AR01W2D1187FB5912F"
"blues","AR01WBK1187B9A8E08"
"americana","AR01WBK1187B9A8E08"
"classic blues","AR01WBK1187B9A8E08"
